Botulism;United States
Rabies;Russia
Avian influenza, human;Indonesia
Avian influenza;Viet Nam
Brucellosis;Czech Republic, Turkey
Salmonella enteritidis;United Kingdom
Ebola virus disease;Liberia, Sierra Leone
Japanese encephalitis;India
West Nile virus;Israel
African swine fever;Nil
Poliomyelitis;Pakistan
Avian influenza;South Korea
Measles;Nil
Scrapie;Nil
Yellow fever;Liberia
Malaria;Panama
Measles;Nil
Avian influenza;Italy
CJD (new variant);Italy
E coli EHEC;United States
West Nile virus;Nil
Buruli ulcer;Australia
Cholera, diarrhea & dysentery;Nil
Equine influenza;United States
Anthrax, human;United States
Largemouth bass virus;United States
Syphilis;United States
Anthrax;Democratic Republic of the Congo
West Nile Virus;Nil
Pneumonia;United States
Cholera, diarrhea & dysentery;Haiti
Foot & mouth disease;Morocco
Colony collapse disorder;United States
Undiagnosed disease;Kenya
Foodborne illness;Colombia
MERS-CoV;Saudi Arabia
Scrub typhus;Nepal
Rabbit hemorrhagic disease;Australia
Chikungunya;Pakistan
E. coli EHEC;United States
Japanese encephalitis;India
MERS-CoV;Saudi Arabia, Kenya
Ebola;Uganda
Anthrax;Georgia
Diphtheria;Yemen
Crimean-Congo hemorrhagic fever;Iran
Yellow fever;Nigeria
Whitefly-transmitted criniviruses;Nil
Vibrio parahaemolyticus;United States
Eastern equine encephalitis;Nil
Hepatitis B;Viet Nam
Soybean rust;United States
Avian influenza;Nil
Angiostrongylosis;Switzerland
Malaria;Panama
Lumpy skin disease;Cyprus
Foot & mouth disease;Algeria
Candida auris;Nil
Avian influenza;Denmark
Undiagnosed illness;India
Q fever;Netherlands
Lumpy skin disease;Israel
Avian influenza;United States
Anthrax;United States
Nil;Nil
Undiagnosed disease;Peru
Anthrax;United States
Avian influenza;China
E. coli O157;United States
Leptospirosis;Dominican Republic
Yellow fever;Sudan
Avian influenza;China
Anaplasmosis, babesiosis;United States
Hand, foot & mouth disease;Mongolia
Tuberculosis, MDR;Nil
Meningitis;Nigeria
Chronic wasting disease;Canada
Bovine TB;South Africa
West Nile virus;United States
Dengue/DHF;Brazil
Japanese encephalitis;India
Cholera, diarrhea & dysentery;Nil
COVID-19;China
Influenza;China
Glanders;Brazil
Avian influenza;Taiwan
Avian influenza;Chile
Enteroviruses;Nil
Scrapie;Finland
Undiagnosed illness;Bangladesh
Hantavirus;Bolivia
Undiagnosed disease;Tanzania
Hepatitis A;Russia
Ross River virus;Australia
Epizootic ulcerative syndrome;Pakistan
Dengue/DHF;Nil
Southern rust;United States
Avian influenza;China
Anthrax;Nil
Leaf rust;Dominican Republic
Trypanosomiasis;Brazil
Hantavirus;Panama
Equine herpesvirus;United States of America
BSE;France
West Nile virus;Japan, United States of America
Undiagnosed fatal disease;Uganda
MERS-CoV;Saudi Arabia
Clostridium difficile;United Kingdom
Anthrax;United States of America
Yellow fever vaccine;India
BSE;Poland
Rabies;China
Eastern equine encephalitis;United States of America
Anthrax;Russia
Foot & mouth disease;Nil
Foot & mouth disease;Pakistan
Dioxin food contamination;Nil
Creutzfeldt-Jacob disease;Ireland
Newcastle disease;Chile
Aflatoxin;Somalia
Avian influenza;Egypt
Listeriosis;United States of America
BSE;France
Typhoid fever;Pakistan
Plague;United States of America
BSE;Canada
Anthrax;India
Cholera, diarrhea & dysentery;Mozambique
Lumpy skin disease;Cyprus
MERS-CoV;Qatar, Kuwait
Influenza;United States of America
Malaria;Nil
Multisystemic wasting syndrome;United Kingdom
Anthrax;Namibia
Trypanosomiasis (Chagas disease);United States of America
Bluetongue;Portugal
Salt poisoning;Canada
Chickenpox;United States of America
Undiagnosed illness;Côte d'Ivoire
Rhinotracheitis;Palestinian Territories
Rhinoceros die-off;Malaysia
Regulated plant pests;Nil
Yezo virus;Japan
Dengue/DHF;Indonesia
Ebola hemorrhagic fever;Uganda
Foodborne illness;India
Meningococcal vaccine;Nil
Anthrax;Uzbekistan
